"dpt","dpt_url","circo","circo_url","tour","inscrits","abstentions","votants","blancs","nuls","exprimes","year"
"01","001","1","01","2","82673","46945","35728","2245","805","32678","2017"
"01","001","2","02","2","93507","54341","39166","2424","867","35875","2017"
"01","001","3","03","2","75548","46438","29110","1815","539","26756","2017"
"01","001","4","04","2","89382","51079","38303","2670","697","34936","2017"
"01","001","5","05","2","75289","43569","31720","2050","749","28921","2017"
"02","002","1","01","2","72347","39583","32764","2262","824","29678","2017"
"02","002","2","02","2","73976","42321","31655","1672","709","29274","2017"
"02","002","3","03","2","68085","36747","31338","1606","687","29045","2017"
"02","002","4","04","2","79114","47083","32031","2192","952","28887","2017"
"02","002","5","05","2","82224","45241","36983","2253","817","33913","2017"
"03","003","1","01","2","89693","45476","44217","2522","1356","40339","2017"
"03","003","2","02","2","84575","45349","39226","3711","2092","33423","2017"
"03","003","3","03","2","79155","43153","36002","2927","1450","31625","2017"
"04","004","1","01","2","61138","33103","28035","2531","962","24542","2017"
"04","004","2","02","2","65327","35440","29887","2174","1057","26656","2017"
"05","005","1","01","2","57743","32609","25134","2966","1189","20979","2017"
"05","005","2","02","2","52159","27811","24348","1875","727","21746","2017"
"06","006","1","01","2","80469","43183","37286","1324","581","35381","2017"
"06","006","2","02","2","85498","49131","36367","2720","696","32951","2017"
"06","006","3","03","2","89137","53760","35377","2119","776","32482","2017"
"06","006","4","04","2","85586","50216","35370","2040","1009","32321","2017"
"06","006","5","05","2","87900","53093","34807","2106","965","31736","2017"
"06","006","6","06","2","77999","45822","32177","2159","287","29731","2017"
"06","006","7","07","2","92854","51131","41723","2088","482","39153","2017"
"06","006","8","08","2","81987","48942","33045","2022","559","30464","2017"
"06","006","9","09","2","79936","45245","34691","1767","447","32477","2017"
"07","007","1","01","2","77920","43767","34153","3215","1651","29287","2017"
"07","007","2","02","2","93064","49718","43346","2839","1196","39311","2017"
"07","007","3","03","2","78251","41487","36764","4133","1729","30902","2017"
"08","008","1","01","2","73371","42990","30381","1787","879","27715","2017"
"08","008","2","02","2","63880","39385","24495","1724","870","21901","2017"
"08","008","3","03","2","57036","31503","25533","1312","563","23658","2017"
"09","009","1","01","2","56731","28118","28613","2041","1163","25409","2017"
"09","009","2","02","2","60672","32091","28581","2242","1469","24870","2017"
"099","099","1","01","2","200179","174022","26157","1158","354","24645","2017"
"099","099","10","10","2","99956","81704","18252","686","167","17399","2017"
"099","099","11","11","2","92761","71741","21020","717","230","20073","2017"
"099","099","2","02","2","75022","65665","9357","261","77","9019","2017"
"099","099","3","03","2","120692","99523","21169","426","127","20616","2017"
"099","099","4","04","2","122756","97262","25494","710","182","24602","2017"
"099","099","5","05","2","91291","78931","12360","417","120","11823","2017"
"099","099","6","06","2","127470","103525","23945","521","126","23298","2017"
"099","099","7","07","2","105946","82499","23447","774","248","22425","2017"
"099","099","8","08","2","121386","107185","14201","288","90","13823","2017"
"099","099","9","09","2","107778","95144","12634","1141","360","11133","2017"
"10","010","1","01","2","64360","31869","32491","1073","319","31099","2017"
"10","010","2","02","2","73880","40455","33425","2560","1024","29841","2017"
"10","010","3","03","2","65653","38159","27494","2066","1003","24425","2017"
"11","011","1","01","2","95134","50034","45100","3895","1793","39412","2017"
"11","011","2","02","2","88898","50698","38200","3459","1586","33155","2017"
"11","011","3","03","2","88637","44542","44095","4751","2421","36923","2017"
"12","012","1","01","2","76397","37609","38788","2623","1185","34980","2017"
"12","012","2","02","2","69769","46063","23706","5910","1783","16013","2017"
"12","012","3","03","2","71800","32453","39347","2668","1296","35383","2017"
"13","013","1","01","2","78414","49459","28955","1958","627","26370","2017"
"13","013","10","10","2","106109","62845","43264","2895","942","39427","2017"
"13","013","11","11","2","89268","54654","34614","2695","901","31018","2017"
"13","013","12","12","2","92158","58386","33772","2747","668","30357","2017"
"13","013","13","13","2","93817","55114","38703","2734","1354","34615","2017"
"13","013","14","14","2","96420","56301","40119","3187","1235","35697","2017"
"13","013","15","15","2","104899","57228","47671","3106","1648","42917","2017"
"13","013","16","16","2","90614","51158","39456","2412","1198","35846","2017"
"13","013","2","02","2","78714","45523","33191","2006","646","30539","2017"
"13","013","3","03","2","73497","47413","26084","1219","398","24467","2017"
"13","013","4","04","2","59685","38331","21354","1061","389","19904","2017"
"13","013","5","05","2","69055","42155","26900","1889","638","24373","2017"
"13","013","6","06","2","75652","46594","29058","1864","483","26711","2017"
"13","013","7","07","2","65444","47353","18091","967","310","16814","2017"
"13","013","8","08","2","100092","58243","41849","2623","971","38255","2017"
"13","013","9","09","2","96957","57864","39093","2716","1169","35208","2017"
"14","014","1","01","2","70099","39435","30664","2895","1062","26707","2017"
