"year","dpt","dpt_url","circo","circo_url","tour","nuance","candidat","nameLast","nameFirst","sexe","voix","pct_inscrits","pct_exprimes","elected"
"2017","01","001","1","01","2","LR","M. Xavier BRETON",NULL,NULL,NULL,"17564","21.25","53.75","1"
"2017","01","001","1","01","2","MDM","M. Laurent MALLET",NULL,NULL,NULL,"15114","18.28","46.25","0"
"2017","01","001","2","02","2","LR","M. Charles DE LA VERPILLIÈRE",NULL,NULL,NULL,"18556","19.84","51.72","1"
"2017","01","001","2","02","2","MDM","Mme Marie Jeanne BEGUET",NULL,NULL,NULL,"17319","18.52","48.28","0"
"2017","01","001","3","03","2","REM","Mme Olga GIVERNET",NULL,NULL,NULL,"16552","21.91","61.86","1"
"2017","01","001","3","03","2","LR","Mme Stéphanie PERNOD BEAUDON",NULL,NULL,NULL,"10204","13.51","38.14","0"
"2017","01","001","4","04","2","REM","M. Stéphane TROMPILLE",NULL,NULL,NULL,"22532","25.21","64.5","1"
"2017","01","001","4","04","2","FN","Mme Blanche CHAUSSAT",NULL,NULL,NULL,"12404","13.88","35.5","0"
"2017","01","001","5","05","2","LR","M. Damien ABAD",NULL,NULL,NULL,"19383","25.74","67.02","1"
"2017","01","001","5","05","2","REM","Mme Hélène DE MEIRE",NULL,NULL,NULL,"9538","12.67","32.98","0"
"2017","02","002","1","01","2","REM","Mme Aude BONO-VANDORME",NULL,NULL,NULL,"16684","23.06","56.22","1"
"2017","02","002","1","01","2","FN","M. Damien PHILIPPOT",NULL,NULL,NULL,"12994","17.96","43.78","0"
"2017","02","002","2","02","2","LR","M. Julien DIVE",NULL,NULL,NULL,"19019","25.71","64.97","1"
"2017","02","002","2","02","2","FN","Mme Sylvie SAILLARD-MEUNIER",NULL,NULL,NULL,"10255","13.86","35.03","0"
"2017","02","002","3","03","2","SOC","M. Jean-Louis BRICOUT",NULL,NULL,NULL,"17558","25.79","60.45","1"
"2017","02","002","3","03","2","FN","M. Paul-Henry HANSEN-CATTA",NULL,NULL,NULL,"11487","16.87","39.55","0"
"2017","02","002","4","04","2","REM","M. Marc DELATTE",NULL,NULL,NULL,"16256","20.55","56.27","1"
"2017","02","002","4","04","2","FN","M. Jean MESSIHA",NULL,NULL,NULL,"12631","15.97","43.73","0"
"2017","02","002","5","05","2","REM","M. Jacques KRABAL",NULL,NULL,NULL,"19609","23.85","57.82","1"
"2017","02","002","5","05","2","FN","M. François DE VOYER",NULL,NULL,NULL,"14304","17.4","42.18","0"
"2017","03","003","1","01","2","COM","M. Jean-Paul DUFRÈGNE",NULL,NULL,NULL,"20915","23.32","51.85","1"
"2017","03","003","1","01","2","REM","Mme Pauline RIVIERE",NULL,NULL,NULL,"19424","21.66","48.15","0"
"2017","03","003","2","02","2","REM","Mme Laurence VANCEUNEBROCK-MIALON",NULL,NULL,NULL,"17396","20.57","52.05","1"
"2017","03","003","2","02","2","LR","M. Daniel DUGLÉRY",NULL,NULL,NULL,"16027","18.95","47.95","0"
"2017","03","003","3","03","2","REM","Mme Bénédicte PEYROL",NULL,NULL,NULL,"18480","23.35","58.43","1"
"2017","03","003","3","03","2","LR","M. Gabriel MAQUIN",NULL,NULL,NULL,"13145","16.61","41.57","0"
"2017","04","004","1","01","2","REM","Mme Delphine BAGARRY",NULL,NULL,NULL,"15609","25.53","63.6","1"
"2017","04","004","1","01","2","FN","Mme Odile BRUN",NULL,NULL,NULL,"8933","14.61","36.4","0"
"2017","04","004","2","02","2","REM","M. Christophe CASTANER",NULL,NULL,NULL,"16412","25.12","61.57","1"
"2017","04","004","2","02","2","FI","M. Léo WALTER",NULL,NULL,NULL,"10244","15.68","38.43","0"
"2017","05","005","1","01","2","REM","Mme Pascale BOYER",NULL,NULL,NULL,"12151","21.04","57.92","1"
"2017","05","005","1","01","2","LR","Mme Catherine ASSO",NULL,NULL,NULL,"8828","15.29","42.08","0"
"2017","05","005","2","02","2","REM","M. Joël GIRAUD",NULL,NULL,NULL,"14823","28.42","68.16","1"
"2017","05","005","2","02","2","DVD","M. Arnaud MURGIA",NULL,NULL,NULL,"6923","13.27","31.84","0"
"2017","06","006","1","01","2","LR","M. Eric CIOTTI",NULL,NULL,NULL,"19888","24.72","56.21","1"
"2017","06","006","1","01","2","REM","Mme Caroline REVERSO-MEINIETTI",NULL,NULL,NULL,"15493","19.25","43.79","0"
"2017","06","006","2","02","2","REM","M. Loîc DOMBREVAL",NULL,NULL,NULL,"19468","22.77","59.08","1"
"2017","06","006","2","02","2","FN","M. Jérôme COCHET",NULL,NULL,NULL,"13483","15.77","40.92","0"
"2017","06","006","3","03","2","REM","M. Cédric ROUSSEL",NULL,NULL,NULL,"19762","22.17","60.84","1"
"2017","06","006","3","03","2","FN","M. Philippe VARDON",NULL,NULL,NULL,"12720","14.27","39.16","0"
"2017","06","006","4","04","2","REM","Mme Alexandra VALETTA ARDISSON",NULL,NULL,NULL,"17047","19.92","52.74","1"
"2017","06","006","4","04","2","FN","M. Olivier BETTATI",NULL,NULL,NULL,"15274","17.85","47.26","0"
"2017","06","006","5","05","2","LR","Mme Marine BRENIER",NULL,NULL,NULL,"19425","22.1","61.21","1"
"2017","06","006","5","05","2","FN","Mme Chantal AGNELY",NULL,NULL,NULL,"12311","14.01","38.79","0"
"2017","06","006","6","06","2","LR","Mme Laurence TRASTOUR-ISNART",NULL,NULL,NULL,"17051","21.86","57.35","1"
"2017","06","006","6","06","2","MDM","Mme Nathalie AUDIN",NULL,NULL,NULL,"12680","16.26","42.65","0"
"2017","06","006","7","07","2","LR","M. Eric PAUGET",NULL,NULL,NULL,"23278","25.07","59.45","1"
"2017","06","006","7","07","2","REM","M. Khaled BEN ABDERRAHMANE",NULL,NULL,NULL,"15875","17.1","40.55","0"
"2017","06","006","8","08","2","LR","M. Bernard BROCHAND",NULL,NULL,NULL,"17403","21.23","57.13","1"
"2017","06","006","8","08","2","REM","M. Philippe BUERCH",NULL,NULL,NULL,"13061","15.93","42.87","0"
"2017","06","006","9","09","2","LR","Mme Michèle TABAROT",NULL,NULL,NULL,"17530","21.93","53.98","1"
"2017","06","006","9","09","2","REM","Mme Dominique FILLEBEEN",NULL,NULL,NULL,"14947","18.7","46.02","0"
"2017","07","007","1","01","2","SOC","M. Hervé SAULIGNAC",NULL,NULL,NULL,"16993","21.81","58.02","1"
"2017","07","007","1","01","2","REM","M. André DUPONT",NULL,NULL,NULL,"12294","15.78","41.98","0"
"2017","07","007","2","02","2","SOC","M. Olivier DUSSOPT",NULL,NULL,NULL,"22132","23.78","56.3","1"
"2017","07","007","2","02","2","REM","Mme Laurette GOUYET-POMMARET",NULL,NULL,NULL,"17179","18.46","43.7","0"
"2017","07","007","3","03","2","LR","M. Fabrice BRUN",NULL,NULL,NULL,"16926","21.63","54.77","1"
"2017","07","007","3","03","2","REM","M. Matthieu PEYRAUD",NULL,NULL,NULL,"13976","17.86","45.23","0"
"2017","08","008","1","01","2","LR","Mme Bérengère POLETTI",NULL,NULL,NULL,"19311","26.32","69.68","1"
"2017","08","008","1","01","2","REM","M. Jean-Pierre MORALI",NULL,NULL,NULL,"8404","11.45","30.32","0"
"2017","08","008","2","02","2","LR","M. Pierre CORDIER",NULL,NULL,NULL,"13371","20.93","61.05","1"
"2017","08","008","2","02","2","REM","M. Mario IGLESIAS",NULL,NULL,NULL,"8530","13.35","38.95","0"
"2017","08","008","3","03","2","LR","M. Jean-Luc WARSMANN",NULL,NULL,NULL,"17678","30.99","74.72","1"
"2017","08","008","3","03","2","FN","Mme Amandine BLOMME",NULL,NULL,NULL,"5980","10.48","25.28","0"
"2017","09","009","1","01","2","FI","Mme Bénédicte TAURINE",NULL,NULL,NULL,"12776","22.52","50.28","1"
"2017","09","009","1","01","2","REM","M. Jérôme AZEMA",NULL,NULL,NULL,"12633","22.27","49.72","0"
"2017","09","009","2","02","2","FI","M. Michel LARIVE",NULL,NULL,NULL,"12572","20.72","50.55","1"
"2017","09","009","2","02","2","REM","Mme Huguette BERTRAND-VINZERICH",NULL,NULL,NULL,"12298","20.27","49.45","0"
"2017","099","099","1","01","2","REM","M. Roland LESCURE",NULL,NULL,NULL,"19650","9.82","79.73","1"
"2017","099","099","1","01","2","LR","M. Frédéric LEFEBVRE",NULL,NULL,NULL,"4995","2.5","20.27","0"
"2017","099","099","10","10","2","REM","Mme Amal Amélia LAKRAFI",NULL,NULL,NULL,"12397","12.4","71.25","1"
"2017","099","099","10","10","2","LR","M. Alain MARSAUD",NULL,NULL,NULL,"5002","5","28.75","0"
"2017","099","099","11","11","2","REM","Mme Anne GENETET",NULL,NULL,NULL,"14397","15.52","71.72","1"
"2017","099","099","11","11","2","LR","M. Thierry MARIANI",NULL,NULL,NULL,"5676","6.12","28.28","0"
"2017","099","099","2","02","2","REM","Mme Paula FORTEZA",NULL,NULL,NULL,"5494","7.32","60.92","1"
"2017","099","099","2","02","2","ECO","M. Sergio CORONADO",NULL,NULL,NULL,"3525","4.7","39.08","0"
"2017","099","099","3","03","2","REM","M. Alexandre HOLROYD",NULL,NULL,NULL,"14453","11.98","70.11","1"
"2017","099","099","3","03","2","SOC","Mme Axelle LEMAIRE",NULL,NULL,NULL,"6163","5.11","29.89","0"
"2017","099","099","4","04","2","REM","M. Pieyre-Alexandre ANGLADE",NULL,NULL,NULL,"18138","14.78","73.73","1"
"2017","099","099","4","04","2","FI","Mme Sophie RAUSZER",NULL,NULL,NULL,"6464","5.27","26.27","0"
"2017","099","099","5","05","2","REM","Mme Samantha CAZEBONNE",NULL,NULL,NULL,"7828","8.57","66.21","1"
"2017","099","099","5","05","2","FI","M. François RALLE-ANDREOLI",NULL,NULL,NULL,"3995","4.38","33.79","0"
"2017","099","099","6","06","2","REM","M. Joachim SON-FORGET",NULL,NULL,NULL,"17460","13.7","74.94","1"
"2017","099","099","6","06","2","LR","Mme Claudine SCHMID",NULL,NULL,NULL,"5838","4.58","25.06","0"
"2017","099","099","7","07","2","MDM","M. Frédéric PETIT",NULL,NULL,NULL,"14115","13.32","62.94","1"
"2017","099","099","7","07","2","SOC","M. Pierre-Yves LE BORGN'",NULL,NULL,NULL,"8310","7.84","37.06","0"
"2017","099","099","8","08","2","UDI","M. Meyer HABIB",NULL,NULL,NULL,"7998","6.59","57.86","1"
"2017","099","099","8","08","2","REM","Mme Florence DRORY",NULL,NULL,NULL,"5825","4.8","42.14","0"
"2017","099","099","9","09","2","DIV","M. M'Jid EL GUERRAB",NULL,NULL,NULL,"6642","6.16","59.66","1"
"2017","099","099","9","09","2","DVD","Mme Leila AÏCHI",NULL,NULL,NULL,"4491","4.17","40.34","0"
"2017","10","010","1","01","2","REM","M. Grégory BESSON-MOREAU",NULL,NULL,NULL,"11339","17.62","36.46","1"
"2017","10","010","1","01","2","LR","M. Nicolas DHUICQ",NULL,NULL,NULL,"10980","17.06","35.31","0"
"2017","10","010","1","01","2","FN","M. Bruno SUBTIL",NULL,NULL,NULL,"8780","13.64","28.23","0"
"2017","10","010","2","02","2","LR","Mme Valérie BAZIN-MALGRAS",NULL,NULL,NULL,"16501","22.33","55.3","1"
"2017","10","010","2","02","2","REM","Mme Djamila HADDAD",NULL,NULL,NULL,"13340","18.06","44.7","0"
"2017","10","010","3","03","2","LR","M. Gérard MENUEL",NULL,NULL,NULL,"12877","19.61","52.72","1"
"2017","10","010","3","03","2","MDM","M. Pascal LANDRÉAT",NULL,NULL,NULL,"11548","17.59","47.28","0"
"2017","11","011","1","01","2","REM","Mme Danièle HÉRIN",NULL,NULL,NULL,"23137","24.32","58.71","1"
"2017","11","011","1","01","2","FN","M. Christophe BARTHÈS",NULL,NULL,NULL,"16275","17.11","41.29","0"
"2017","11","011","2","02","2","REM","M. Alain PEREA",NULL,NULL,NULL,"19381","21.8","58.46","1"
"2017","11","011","2","02","2","FN","M. Jean-François DARAUD",NULL,NULL,NULL,"13774","15.49","41.54","0"
"2017","11","011","3","03","2","REM","Mme Mireille ROBERT",NULL,NULL,NULL,"19605","22.12","53.1","1"
"2017","11","011","3","03","2","SOC","M. André VIOLA",NULL,NULL,NULL,"17318","19.54","46.9","0"
"2017","12","012","1","01","2","REM","M. Stéphane MAZARS",NULL,NULL,NULL,"23217","30.39","66.37","1"
"2017","12","012","1","01","2","LR","M. Yves CENSI",NULL,NULL,NULL,"11763","15.4","33.63","0"
"2017","12","012","2","02","2","REM","Mme Anne BLANC",NULL,NULL,NULL,"16013","22.95","100","1"
"2017","12","012","3","03","2","LR","M. Arnaud VIALA",NULL,NULL,NULL,"20934","29.16","59.16","1"
"2017","12","012","3","03","2","REM","M. Jean-Louis AUSTRUY",NULL,NULL,NULL,"14449","20.12","40.84","0"
"2017","13","013","1","01","2","LR","Mme Valérie BOYER",NULL,NULL,NULL,"14531","18.53","55.1","1"
